Cod_setor,Entorno_V032,Entorno_V034,Entorno_V036,Entorno_V050,Entorno_V052,Entorno_V054,Entorno_V056,Entorno_V058,Entorno_V060,Entorno_V062,Entorno_V063,Entorno_V064,Entorno_V065,Domicilio_V111,Domicilio_V112,Domicilio_V113,Domicilio_V114,Domicilio_V115,Domicilio_V116,Domicilio_V145,Domicilio_V146,Domicilio_V147,Domicilio_V148
150010705000001,0.21875,0.019886363636363636,0.002840909090909091,0.7727272727272727,0.15625,0.017045454545454544,0.18181818181818182,0.019886363636363636,0.005681818181818182,0.38920454545454547,0.10227272727272728,0.44886363636363635,0.03409090909090909,0.0,0.7471590909090909,0.008522727272727272,0.0,0.0,0.0,0.05397727272727273,0.07954545454545454,0.0,0.002840909090909091
150010705000002,0.2540983606557377,0.01639344262295082,0.040983606557377046,0.4672131147540984,0.036885245901639344,0.040983606557377046,0.04918032786885246,0.012295081967213115,0.00819672131147541,0.30327868852459017,0.3114754098360656,0.2540983606557377,0.12295081967213115,0.0,0.024390243902439025,0.9390243902439024,0.0040650406504065045,0.0,0.012195121951219513,0.0,0.0,0.0,0.0
150010705000003,0.16962025316455695,0.020253164556962026,0.020253164556962026,0.5544303797468354,0.08354430379746836,0.06835443037974684,0.2683544303797468,0.035443037974683546,0.04050632911392405,0.1518987341772152,0.6784810126582278,0.02531645569620253,0.12658227848101267,0.07088607594936709,0.3367088607594937,0.09113924050632911,0.06582278481012659,0.3265822784810127,0.007594936708860759,0.05822784810126582,0.035443037974683546,0.0,0.0
150010705000004,0.0,0.0,0.0,0.6982248520710059,0.13313609467455623,0.16863905325443787,0.0,0.0,0.0,0.014792899408284023,0.5414201183431953,0.14201183431952663,0.28106508875739644,0.03254437869822485,0.23372781065088757,0.33727810650887574,0.01775147928994083,0.23668639053254437,0.05325443786982249,0.03550295857988166,0.005917159763313609,0.0,0.0
150010705000005,0.1607843137254902,0.027450980392156862,0.01568627450980392,0.8470588235294118,0.10980392156862745,0.043137254901960784,0.0,0.0,0.0,0.00784313725490196,0.1803921568627451,0.10980392156862745,0.6588235294117647,0.1450980392156863,0.10980392156862745,0.6235294117647059,0.0,0.09411764705882353,0.00392156862745098,0.011764705882352941,0.00392156862745098,0.0,0.0
150010705000006,0.02097902097902098,0.0,0.006993006993006993,0.6923076923076923,0.20279720279720279,0.10139860139860139,0.0,0.0,0.0,0.1888111888111888,0.3146853146853147,0.36013986013986016,0.1048951048951049,0.024054982817869417,0.4329896907216495,0.30584192439862545,0.003436426116838488,0.024054982817869417,0.027491408934707903,0.044673539518900345,0.027491408934707903,0.0,0.0
150010705000007,0.06451612903225806,0.016129032258064516,0.0,0.6532258064516129,0.3225806451612903,0.024193548387096774,0.0,0.0,0.0,0.4838709677419355,0.008064516129032258,0.4838709677419355,0.024193548387096774,0.0,0.6854838709677419,0.008064516129032258,0.0,0.0,0.0,0.10483870967741936,0.0,0.0,0.0
150010705000008,0.01507537688442211,0.0,0.0,0.7688442211055276,0.21608040201005024,0.01507537688442211,0.0,0.0,0.0,0.33668341708542715,0.135678391959799,0.45226130653266333,0.07035175879396985,0.0049261083743842365,0.019704433497536946,0.7881773399014779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150010705000009,0.6857142857142857,0.06571428571428571,0.008571428571428572,0.005714285714285714,0.002857142857142857,0.0,0.0,0.0,0.0,0.24571428571428572,0.6457142857142857,0.0,0.08571428571428572,0.02857142857142857,0.29714285714285715,0.3,0.18,0.18,0.005714285714285714,0.005714285714285714,0.0,0.0,0.0
150010705000010,0.1962962962962963,0.02962962962962963,0.022222222222222223,0.26666666666666666,0.03333333333333333,0.02962962962962963,0.0,0.0,0.0,0.0,0.837037037037037,0.0,0.15925925925925927,0.025925925925925925,0.0,0.7296296296296296,0.09259259259259259,0.12962962962962962,0.0,0.0,0.0,0.0,0.0
